SquareFootage,NumBedrooms,AgeOfHouse,Price
3674,3,18,481447
1360,3,82,161140
1794,1,66,209513
1630,3,54,195619
1595,5,35,221977
3592,3,80,427298
2138,1,61,237196
2669,5,41,338091
966,2,33,116634
1738,3,68,198658
830,1,33,101351
1982,2,14,268785
2635,2,21,331645
3944,4,48,494596
3671,5,20,492737
3419,3,8,424588
630,1,7,68049
2185,4,67,249850
3880,5,17,511044
1269,4,33,190479
2891,5,48,362124
2015,5,76,234881
3985,3,59,488005
3353,5,86,406256
2933,4,22,368765
1715,5,30,226037
1455,3,38,185656
2824,3,51,326723
1684,4,54,208580
959,2,8,140455
3885,2,27,462362
521,5,27,95984
2800,1,98,285130
1247,5,21,188671
3404,4,30,415159
974,4,97,91886
1582,4,28,209124
3058,4,64,362213
2547,4,97,296268
3247,3,69,393072
1475,2,61,155935
2306,4,48,286016
689,1,19,93625
3505,1,4,421845
3234,1,35,389704
3505,1,64,408499
1062,3,49,148187
2399,1,17,298602
1767,4,44,236251
3379,5,92,426700
2028,1,30,245006
3702,3,93,446389
1146,3,46,147569
2568,1,6,309229
3388,5,99,419640
2714,1,37,329023
1797,3,24,216489
2935,2,93,328989
1100,4,46,164257
2863,3,53,336883
2561,1,95,259360
741,4,99,75784
2541,1,60,269531
3324,1,97,368043
3917,2,63,477186
3112,4,85,381917
3445,4,32,446568
1863,2,87,205531
2639,3,33,332867
1890,1,67,184151
3503,5,18,459431
1978,1,25,221693
3999,1,95,434318
3056,3,54,384915
1275,1,58,140144
534,2,67,34580
2753,2,46,312412
3652,4,24,481746
2455,5,32,336674
2085,1,47,254855
3959,1,86,454400
3573,3,23,465564
1521,2,66,153433
3961,5,27,509270
3113,4,2,416667
1629,2,90,171244
2000,4,17,271991
1202,3,33,176234
2949,3,9,362753
3277,1,43,373901
2079,5,48,287476
661,4,39,106942
701,2,93,72470
2481,3,42,314070
1495,1,26,183872
2817,1,99,307301
1315,4,50,178151
3842,3,25,481672
955,5,24,147905
1775,3,13,226317
1516,4,60,183181
2843,4,7,358077
3267,3,57,393898
837,4,36,105707
1378,3,45,170069
1576,2,20,203172
1291,3,65,170933
2764,3,8,363772
1263,4,16,174898
2735,4,14,341612
879,1,76,65023
992,1,87,99036
3612,2,15,449488
1680,1,92,172984
2562,3,98,307196
564,4,66,73568
3068,1,32,377895
1867,1,87,188046
1652,2,63,187203
2527,2,86,278195
3195,3,51,405741
1995,4,25,252004
3634,2,58,441991
1662,1,63,181130
2022,4,62,238997
3140,4,22,418279
891,1,58,104128
2198,2,58,254910
918,1,86,62804
2836,4,49,338734
878,5,52,130712
2296,5,42,298917
2778,3,70,309088
3565,1,15,410998
2588,1,54,313514
3599,3,60,425803
2682,3,97,300119
700,3,8,97400
2363,4,53,301526
1279,1,60,150419
3477,4,5,439100
3604,3,68,443750
3619,1,6,438381
1002,4,96,124547
2954,4,94,332966
2251,3,47,264955
1304,1,99,118344
2646,3,55,337279
3231,1,40,381296
2395,5,52,323067
